Mods count: 110
 
jar name                                                                | mod id (isMCreator)             | mixin configs
ldlib-forge-1.20.1-1.0.43.jar                                           | ldlib                           | ldlib-common.mixins.json, ldlib.mixins.json
leaky-1.20.1-2.1.jar                                                    | leaky                           | leaky.mixins.json
legendarysurvivaloverhaul-1.20.1-2.3.22.jar                             | legendarysurvivaloverhaul       | 
LegendaryTooltips-1.20.1-forge-1.4.5.jar                                | legendarytooltips               | legendarytooltips.mixins.json
lmft-1.0.4+1.20.1-forge.jar                                             | lmft                            | lmft.mixins.json, lmft-common.mixins.json
Log-Begone-Forge-1.20.1-1.0.8.jar                                       | logbegone                       | 
lootbeams-1.20.1-1.2.6.jar                                              | lootbeams                       | lootbeams.mixins.json
Mantle-1.20.1-1.11.79.jar                                               | mantle                          | 
MaxHealthFix-Forge-1.20.1-12.0.3.jar                                    | maxhealthfix                    | maxhealthfix.forge.mixins.json, maxhealthfix.common.mixins.json
melody_forge_1.0.3_MC_1.20.1-1.20.4.jar                                 | melody                          | melody.forge.mixins.json, melody.mixins.json
modernfix-forge-5.23.1+mc1.20.1.jar                                     | modernfix                       | modernfix-common.mixins.json, modernfix-forge.mixins.json
ModernUI-Forge-1.20.1-3.12.0.1-universal.jar                            | modernui                        | mixins.modernui-forge.json, mixins.modernui-textmc.json
    /META-INF/jars/commonmark-0.25.0.jar                                |                                 | 
moonlight-1.20-2.16.8-forge.jar                                         | moonlight                       | moonlight.mixins.json, moonlight-common.mixins.json
multiblocked2-1.20.1-1.0.36.jar                                         | mbd2                            | mixins.mbd2.json, mixins.mbd2.refmap.json
Neruina-2.1.2-forge+1.20.1.jar                                          | neruina                         | neruina.mixins.json
    /META-INF/jars/github-api-1.318.jar                                 |                                 | 
    /META-INF/jars/jackson-annotations-2.17.0.jar                       |                                 | 
    /META-INF/jars/jackson-core-2.17.0.jar                              |                                 | 
    /META-INF/jars/jackson-databind-2.17.0.jar                          |                                 | 
ntgl-1.20.1-1.10.1.jar                                                  | ntgl                            | ntgl.mixin.json, ntgl.mixin-refmap.json
nukaadditions-0.5-1.20.1.jar                                            | nukaadditions                   | nukaadditions.mixin.json
nukacraft-1.20.1-1.17.4-alpha.jar                                       | nukacraft                       | nukacraft.mixin.json, nukacraft.mixin-refmap.json
packetfixer-forge-2.0.0-1.19-to-1.20.1.jar                              | packetfixer                     | packetfixer.forge.mixins.json, packetfixer.common.mixins.json
Placebo-1.20.1-8.6.3.jar                                                | placebo                         | placebo.mixins.json
Prism-1.20.1-forge-1.0.5.jar                                            | prism                           | prism.mixins.json
radium-mc1.20.1-0.12.4+git.26c9d8e.jar                                  | radium                          | lithium.mixins.json, mixins.lithium.refmap.json
    /META-INF/jars/NanoLiveConfig-1.2.1.jar                             |                                 | 
rechiseled-1.1.6-forge-mc1.20.jar                                       | rechiseled                      | 
recipe_generator-0.4.0_beta-forge-1.20.1.jar                            | recipe_generator (MCreator mod) | mixins.just_ctgui.json
resourcefulconfig-forge-1.20.1-2.1.3.jar                                | resourcefulconfig               | 
rhino-forge-2001.2.3-build.10.jar                                       | rhino                           | rhino-common.mixins.json
rubberdrawers-1.1.jar                                                   | rubberdrawers                   | 
servercore-forge-1.5.2+1.20.1.jar                                       | servercore                      | servercore.common.mixins.json
    /META-INF/jars/dazzleconf-core-1.3.0-M2.jar                         |                                 | 
    /META-INF/jars/dazzleconf-ext-snakeyaml-1.3.0-M2.jar                |                                 | 
    /META-INF/jars/snakeyaml-2.2.jar                                    |                                 | 
sound-physics-remastered-forge-1.20.1-1.4.15.jar                        | sound_physics_remastered        | sound_physics_remastered.mixins.json
spark-1.10.53-forge.jar                                                 | spark                           | 
splendid_slimes-0.14.4.jar                                              | splendid_slimes                 | 
steamadditions-1.5.1.jar                                                | steamadditions                  | 
structure_layout_optimizer-forge-1.0.10.jar                             | structure_layout_optimizer      | structure_layout_optimizer.mixins.json
